id,timestamp,sensor_dir,sensorvalue_x,sensorvalue_y,sensorvalue_z
162,2025-11-26 12:46:02,1,1493,1248,1511
161,2025-11-26 12:46:02,1,1495,1243,1510
160,2025-11-26 12:46:02,1,1492,1247,1512
159,2025-11-26 12:46:02,1,1492,1252,1507
158,2025-11-26 12:46:02,1,1495,1252,1514
157,2025-11-26 12:46:02,1,1494,1258,1517
156,2025-11-26 12:46:02,1,1499,1249,1510
155,2025-11-26 12:46:02,1,1493,1250,1508
154,2025-11-26 12:46:02,1,1495,1249,1512
153,2025-11-26 12:46:02,1,1495,1250,1511
152,2025-11-26 12:46:02,1,1499,1254,1508
151,2025-11-26 12:46:02,1,1493,1251,1509
150,2025-11-26 12:46:02,1,1494,1250,1516
149,2025-11-26 12:46:02,1,1496,1251,1514
148,2025-11-26 12:46:02,1,1496,1243,1507
147,2025-11-26 12:46:02,1,1494,1250,1508
146,2025-11-26 12:46:02,1,1495,1250,1507
145,2025-11-26 12:46:01,1,1496,1249,1509
144,2025-11-26 12:46:01,1,1489,1253,1507
143,2025-11-26 12:46:01,1,1495,1245,1514
142,2025-11-26 12:46:01,1,1498,1255,1514
141,2025-11-26 12:46:01,1,1501,1250,1516
140,2025-11-26 12:46:01,1,1492,1248,1512
139,2025-11-26 12:46:01,1,1491,1248,1511
138,2025-11-26 12:46:01,1,1491,1253,1509
137,2025-11-26 12:46:01,1,1497,1257,1510
136,2025-11-26 12:46:01,1,1501,1249,1510
135,2025-11-26 12:46:01,1,1495,1252,1516
134,2025-11-26 12:46:01,1,1492,1242,1510
133,2025-11-26 12:46:01,1,1490,1252,1509
132,2025-11-26 12:46:01,1,1495,1251,1509
131,2025-11-26 12:46:01,1,1497,1250,1516
130,2025-11-26 12:46:01,1,1496,1252,1512
129,2025-11-26 12:46:01,1,1495,1253,1510
128,2025-11-26 12:46:01,1,1495,1246,1519
127,2025-11-26 12:46:01,1,1489,1249,1512
126,2025-11-26 12:46:01,1,1497,1256,1515
125,2025-11-26 12:46:01,1,1492,1254,1515
124,2025-11-26 12:46:01,1,1497,1253,1512
123,2025-11-26 12:46:01,1,1495,1252,1511
122,2025-11-26 12:46:01,1,1495,1245,1515
121,2025-11-26 12:46:01,1,1499,1255,1515
120,2025-11-26 12:46:01,1,1496,1247,1507
119,2025-11-26 12:46:01,1,1495,1248,1516
118,2025-11-26 12:46:01,1,1497,1255,1516
117,2025-11-26 12:46:01,1,1497,1251,1509
116,2025-11-26 12:46:01,1,1496,1243,1510
115,2025-11-26 12:46:01,1,1500,1253,1518
114,2025-11-26 12:46:01,1,1497,1247,1510
113,2025-11-26 12:46:01,1,1498,1250,1511
112,2025-11-26 12:46:01,1,1496,1243,1512
111,2025-11-26 12:46:01,1,1495,1252,1513
110,2025-11-26 12:46:01,1,1495,1251,1517
109,2025-11-26 12:46:01,1,1493,1248,1507
108,2025-11-26 12:46:01,1,1494,1253,1510
107,2025-11-26 12:46:01,1,1495,1250,1510
106,2025-11-26 12:46:01,1,1492,1248,1509
105,2025-11-26 12:46:00,1,1499,1253,1509
104,2025-11-26 12:46:00,1,1492,1255,1515
103,2025-11-26 12:46:00,1,1494,1250,1509
102,2025-11-26 12:46:00,1,1495,1250,1515
101,2025-11-26 12:46:00,1,1491,1251,1511
100,2025-11-26 12:45:53,0,1456,1838,1487
99,2025-11-26 12:45:53,0,1454,1842,1487
